Municipio,Año,Subtipo de delito,Sexo,Rango de edad,Valor
Bacoachi,2026,Evasión de presos,No identificado,No especificado,0
Bacoachi,2026,Extorsión por otros medios,No identificado,No especificado,0
Bacoachi,2026,Extorsión presencial,No identificado,No especificado,0
Bacoachi,2026,Falsedad,No identificado,No especificado,0
Bacoachi,2026,Falsificación,No identificado,No especificado,0
Bacoachi,2026,Feminicidio,No identificado,No especificado,0
Bacoachi,2026,Fraude,No identificado,No especificado,0
Bacoachi,2026,Homicidio culposo,No identificado,No especificado,0
Bacoachi,2026,Homicidio doloso,No identificado,No especificado,0
Bacoachi,2026,Hostigamiento sexual,No identificado,No especificado,0
Bacoachi,2026,Incesto,No identificado,No especificado,0
Bacoachi,2026,Incumplimiento de obligaciones de asistencia familiar,No identificado,No especificado,0
Bacoachi,2026,Lesiones culposas,No identificado,No especificado,0
Bacoachi,2026,Lesiones dolosas,No identificado,No especificado,0
Bacoachi,2026,Narcomenudeo con fines de venta,No identificado,No especificado,0
Bacoachi,2026,Narcomenudeo posesión simple,No identificado,No especificado,0
Bacoachi,2026,Otros delitos contra el patrimonio,No identificado,No especificado,0
Bacoachi,2026,Otros delitos contra la familia,No identificado,No especificado,0
Bacoachi,2026,Otros delitos contra la sociedad,No identificado,No especificado,0
Bacoachi,2026,Otros delitos del Fuero Común,No identificado,No especificado,0
Bacoachi,2026,Otros delitos que atentan contra la libertad personal,No identificado,No especificado,0
Bacoachi,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,No identificado,No especificado,0
Bacoachi,2026,Otros delitos que atentan contra la vida y la integridad corporal,No identificado,No especificado,0
Bacoachi,2026,Otros robos,No identificado,No especificado,0
Bacoachi,2026,Pornografía infantil,No identificado,No especificado,0
Bacoachi,2026,Privación ilegal de la libertad,No identificado,No especificado,0
Bacoachi,2026,Rapto,No identificado,No especificado,0
Bacoachi,2026,Retención o sustracción de menores e incapaces,No identificado,No especificado,0
Bacoachi,2026,Robo a casa habitación,No identificado,No especificado,0
Bacoachi,2026,Robo a institución bancaria,No identificado,No especificado,0
Bacoachi,2026,Robo a negocio,No identificado,No especificado,0
Bacoachi,2026,Robo a transeúnte en espacio abierto al público,No identificado,No especificado,0
Bacoachi,2026,Robo a transeúnte en vía pública,No identificado,No especificado,0
Bacoachi,2026,Robo a transportista,No identificado,No especificado,0
Bacoachi,2026,Robo de autopartes,No identificado,No especificado,0
Bacoachi,2026,Robo de ganado,No identificado,No especificado,0
Bacoachi,2026,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",No identificado,No especificado,0
Bacoachi,2026,Robo de maquinaria - Herramienta industrial o agrícola,No identificado,No especificado,0
Bacoachi,2026,Robo de maquinaria - Tractores y/o montacargas,No identificado,No especificado,0
Bacoachi,2026,Robo de vehículo automotor - Coche de 4 ruedas,No identificado,No especificado,0
Bacoachi,2026,Robo de vehículo automotor - Embarcaciones,No identificado,No especificado,0
Bacoachi,2026,Robo de vehículo automotor - Motocicleta,No identificado,No especificado,0
Bacoachi,2026,Robo en transporte individual,No identificado,No especificado,0
Bacoachi,2026,Robo en transporte público colectivo,No identificado,No especificado,0
Bacoachi,2026,Robo en transporte público individual,No identificado,No especificado,0
Bacoachi,2026,Secuestro con calidad de rehén,No identificado,No especificado,0
Bacoachi,2026,Secuestro exprés,No identificado,No especificado,0
Bacoachi,2026,Secuestro extorsivo,No identificado,No especificado,0
Bacoachi,2026,Secuestro para causar daño,No identificado,No especificado,0
Bacoachi,2026,Suplantación y usurpación de identidad,No identificado,No especificado,0
Bacoachi,2026,Tentativa de extorsión por otros medios,No identificado,No especificado,0
Bacoachi,2026,Tentativa de extorsión presencial,No identificado,No especificado,0
Bacoachi,2026,Tentativa de feminicidio,No identificado,No especificado,0
Bacoachi,2026,Tentativa de homicidio doloso,No identificado,No especificado,0
Bacoachi,2026,Tortura,No identificado,No especificado,0
Bacoachi,2026,Trata de personas con fines de explotación sexual,No identificado,No especificado,0
Bacoachi,2026,Trata de personas con fines de trabajo o servicios forzados,No identificado,No especificado,0
Bacoachi,2026,Trata de personas con fines de tráfico de órganos,No identificado,No especificado,0
Bacoachi,2026,Trata de personas con otros fines,No identificado,No especificado,0
Bacoachi,2026,Tráfico de menores,No identificado,No especificado,0
Bacoachi,2026,Violación a la intimidad sexual,No identificado,No especificado,0
Bacoachi,2026,Violación equiparada,No identificado,No especificado,0
Bacoachi,2026,Violación simple,No identificado,No especificado,0
Bacoachi,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,No identificado,No especificado,0
Bacoachi,2026,Violencia familiar,No identificado,No especificado,0
Banámichi,2026,Allanamiento de morada,Mujer,Más de 60 años,1
Banámichi,2026,Amenazas,Mujer,Más de 60 años,1
Banámichi,2026,Lesiones culposas,Hombre,30 a 60 años,1
Bavispe,2026,Aborto,No identificado,No especificado,0
Bavispe,2026,Abuso de confianza,No identificado,No especificado,0
Bavispe,2026,Abuso sexual,No identificado,No especificado,0
Bavispe,2026,Acoso sexual,No identificado,No especificado,0
Bavispe,2026,Allanamiento de morada,No identificado,No especificado,0
Bavispe,2026,Amenazas,No identificado,No especificado,0
Bavispe,2026,Contra el medio ambiente,No identificado,No especificado,0
Bavispe,2026,Corrupción de menores,No identificado,No especificado,0
Bavispe,2026,Daño a la propiedad,No identificado,No especificado,0
Bavispe,2026,Delitos cometidos por servidores públicos,No identificado,No especificado,0
Bavispe,2026,Delitos contra la administración de justicia,No identificado,No especificado,0
Bavispe,2026,Despojo,No identificado,No especificado,0
Bavispe,2026,Discriminación,No identificado,No especificado,0
Bavispe,2026,Electorales,No identificado,No especificado,0
Bavispe,2026,Evasión de presos,No identificado,No especificado,0
Bavispe,2026,Extorsión por otros medios,No identificado,No especificado,0
Bavispe,2026,Extorsión presencial,No identificado,No especificado,0
Bavispe,2026,Falsedad,No identificado,No especificado,0
Bavispe,2026,Falsificación,No identificado,No especificado,0
Bavispe,2026,Feminicidio,No identificado,No especificado,0
Bavispe,2026,Fraude,No identificado,No especificado,0
Bavispe,2026,Homicidio culposo,No identificado,No especificado,0
Bavispe,2026,Homicidio doloso,No identificado,No especificado,0
Bavispe,2026,Hostigamiento sexual,No identificado,No especificado,0
Bavispe,2026,Incesto,No identificado,No especificado,0
Bavispe,2026,Incumplimiento de obligaciones de asistencia familiar,No identificado,No especificado,0
Bavispe,2026,Lesiones culposas,No identificado,No especificado,0
Bavispe,2026,Lesiones dolosas,No identificado,No especificado,0
Bavispe,2026,Narcomenudeo con fines de venta,No identificado,No especificado,0
Bavispe,2026,Narcomenudeo posesión simple,No identificado,No especificado,0
Bavispe,2026,Otros delitos contra el patrimonio,No identificado,No especificado,0
Bavispe,2026,Otros delitos contra la familia,No identificado,No especificado,0
Bavispe,2026,Otros delitos contra la sociedad,No identificado,No especificado,0
Bavispe,2026,Otros delitos del Fuero Común,No identificado,No especificado,0
Bavispe,2026,Otros delitos que atentan contra la libertad personal,No identificado,No especificado,0
Bavispe,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,No identificado,No especificado,0
Bavispe,2026,Otros delitos que atentan contra la vida y la integridad corporal,No identificado,No especificado,0
Bavispe,2026,Otros robos,No identificado,No especificado,0
Bavispe,2026,Pornografía infantil,No identificado,No especificado,0
Bavispe,2026,Privación ilegal de la libertad,No identificado,No especificado,0
Bavispe,2026,Rapto,No identificado,No especificado,0
Bavispe,2026,Retención o sustracción de menores e incapaces,No identificado,No especificado,0
Bavispe,2026,Robo a casa habitación,No identificado,No especificado,0
Bavispe,2026,Robo a institución bancaria,No identificado,No especificado,0
Bavispe,2026,Robo a negocio,No identificado,No especificado,0
Bavispe,2026,Robo a transeúnte en espacio abierto al público,No identificado,No especificado,0
Bavispe,2026,Robo a transeúnte en vía pública,No identificado,No especificado,0
Bavispe,2026,Robo a transportista,No identificado,No especificado,0
Bavispe,2026,Robo de autopartes,No identificado,No especificado,0
Bavispe,2026,Robo de ganado,No identificado,No especificado,0
Bavispe,2026,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",No identificado,No especificado,0
Bavispe,2026,Robo de maquinaria - Herramienta industrial o agrícola,No identificado,No especificado,0
Bavispe,2026,Robo de maquinaria - Tractores y/o montacargas,No identificado,No especificado,0
Bavispe,2026,Robo de vehículo automotor - Coche de 4 ruedas,No identificado,No especificado,0
Bavispe,2026,Robo de vehículo automotor - Embarcaciones,No identificado,No especificado,0
Bavispe,2026,Robo de vehículo automotor - Motocicleta,No identificado,No especificado,0
Bavispe,2026,Robo en transporte individual,No identificado,No especificado,0
Bavispe,2026,Robo en transporte público colectivo,No identificado,No especificado,0
Bavispe,2026,Robo en transporte público individual,No identificado,No especificado,0
Bavispe,2026,Secuestro con calidad de rehén,No identificado,No especificado,0
Bavispe,2026,Secuestro exprés,No identificado,No especificado,0
Bavispe,2026,Secuestro extorsivo,No identificado,No especificado,0
Bavispe,2026,Secuestro para causar daño,No identificado,No especificado,0
Bavispe,2026,Suplantación y usurpación de identidad,No identificado,No especificado,0
Bavispe,2026,Tentativa de extorsión por otros medios,No identificado,No especificado,0
Bavispe,2026,Tentativa de extorsión presencial,No identificado,No especificado,0
Bavispe,2026,Tentativa de feminicidio,No identificado,No especificado,0
Bavispe,2026,Tentativa de homicidio doloso,No identificado,No especificado,0
Bavispe,2026,Tortura,No identificado,No especificado,0
Bavispe,2026,Trata de personas con fines de explotación sexual,No identificado,No especificado,0
Bavispe,2026,Trata de personas con fines de trabajo o servicios forzados,No identificado,No especificado,0
Bavispe,2026,Trata de personas con fines de tráfico de órganos,No identificado,No especificado,0
Bavispe,2026,Trata de personas con otros fines,No identificado,No especificado,0
Bavispe,2026,Tráfico de menores,No identificado,No especificado,0
Bavispe,2026,Violación a la intimidad sexual,No identificado,No especificado,0
Bavispe,2026,Violación equiparada,No identificado,No especificado,0
Bavispe,2026,Violación simple,No identificado,No especificado,0
Bavispe,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,No identificado,No especificado,0
Bavispe,2026,Violencia familiar,No identificado,No especificado,0
Baviácora,2026,Daño a la propiedad,No identificado,No especificado,1
Baviácora,2026,Incumplimiento de obligaciones de asistencia familiar,Mujer,0 a 12 años,1
Baviácora,2026,Robo de vehículo automotor - Coche de 4 ruedas,Hombre,No especificado,1
Benito Juárez,2026,Abuso sexual,Mujer,30 a 60 años,1
Benito Juárez,2026,Allanamiento de morada,Mujer,30 a 60 años,1
Benito Juárez,2026,Amenazas,Hombre,30 a 60 años,2
Benito Juárez,2026,Amenazas,Mujer,18 a 29 años,3
Benito Juárez,2026,Corrupción de menores,Mujer,13 a 17 años,1
Benito Juárez,2026,Daño a la propiedad,Hombre,13 a 17 años,1
Benito Juárez,2026,Daño a la propiedad,No identificado,No especificado,1
Benito Juárez,2026,Despojo,Hombre,Más de 60 años,1
Benito Juárez,2026,Fraude,Hombre,30 a 60 años,1
Benito Juárez,2026,Homicidio culposo,Hombre,30 a 60 años,1
Benito Juárez,2026,Incumplimiento de obligaciones de asistencia familiar,Hombre,0 a 12 años,1
Benito Juárez,2026,Incumplimiento de obligaciones de asistencia familiar,Mujer,18 a 29 años,2
Benito Juárez,2026,Incumplimiento de obligaciones de asistencia familiar,Mujer,30 a 60 años,3
Benito Juárez,2026,Lesiones culposas,Hombre,13 a 17 años,1
Benito Juárez,2026,Lesiones culposas,Hombre,18 a 29 años,3
Benito Juárez,2026,Lesiones culposas,Hombre,30 a 60 años,1
Benito Juárez,2026,Lesiones culposas,Hombre,No especificado,1
Benito Juárez,2026,Lesiones culposas,Mujer,13 a 17 años,1
Benito Juárez,2026,Lesiones culposas,Mujer,18 a 29 años,2
Benito Juárez,2026,Lesiones dolosas,Hombre,13 a 17 años,1
Benito Juárez,2026,Lesiones dolosas,Hombre,30 a 60 años,2
Benito Juárez,2026,Lesiones dolosas,Mujer,30 a 60 años,1
Benito Juárez,2026,Narcomenudeo con fines de venta,No identificado,No especificado,2
Benito Juárez,2026,Otros delitos contra el patrimonio,No identificado,No especificado,2
Benito Juárez,2026,Otros delitos del Fuero Común,Hombre,Más de 60 años,1
Benito Juárez,2026,Otros delitos que atentan contra la vida y la integridad corporal,No identificado,No especificado,1
Benito Juárez,2026,Otros robos,Hombre,18 a 29 años,1
Benito Juárez,2026,Otros robos,Hombre,30 a 60 años,2
Benito Juárez,2026,Otros robos,Hombre,Más de 60 años,1
Benito Juárez,2026,Robo a casa habitación,Hombre,Más de 60 años,1
Benito Juárez,2026,Robo a casa habitación,Hombre,No especificado,1
Benito Juárez,2026,Robo a negocio,Hombre,18 a 29 años,1
Benito Juárez,2026,Robo a negocio,No identificado,No especificado,1
Benito Juárez,2026,Robo a transeúnte en vía pública,Mujer,30 a 60 años,2
Benito Juárez,2026,Robo de vehículo automotor - Coche de 4 ruedas,Hombre,30 a 60 años,4
Benito Juárez,2026,Robo de vehículo automotor - Coche de 4 ruedas,Mujer,30 a 60 años,1
Benito Juárez,2026,Violación equiparada,Mujer,0 a 12 años,1
Benito Juárez,2026,Violencia familiar,Hombre,0 a 12 años,1
Benito Juárez,2026,Violencia familiar,Hombre,13 a 17 años,1
Benito Juárez,2026,Violencia familiar,Mujer,18 a 29 años,7
Benito Juárez,2026,Violencia familiar,Mujer,30 a 60 años,10
Benjamín Hill,2026,Abuso sexual,Mujer,No especificado,3
Benjamín Hill,2026,Delitos cometidos por servidores públicos,Hombre,30 a 60 años,1
